brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,images_dir,s3_dir,product_dimensions
Nike,AIR FORCE 1 07 LV8 LIGHT SILVERBLACK-LIGHT SILVER-WHITE,"₹ 10,795.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DZ2522-001,"Torn between 2 looks? Not anymore—this AF1 gets a 2-toned treatment from tongue to sole. Split-color Swooshes and soles add just the right touch of interest, and mismatched branding on the tongue and backtab complete the look. And don't worry, it still delivers cushioned comfort and the classic AF1 look with era-echoing '80s construction, bold details and nothin'-but-net style. Step up in this elevated silhouette (literally and figuratively).From tough stitching to pristine materials to the cupsole design, it delivers durable style that’s smoother than backboard glass.Originally designed for performance hoops, Nike Air cushioning delivers lasting comfort.Rubber outsole with hoops pivot circles adds durable traction and heritage style.Low-cut, padded collar looks sleek and feels great.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-force-1-07-lv8-light-silver-black-light-silver-white,data/raw/superkicks/men-sneakers/images/nike/air force 1 07 lv8 light silverblack-light silver-white,,
Adidas Originals,FORUM PLATFORM CLEAR SKYGREY ONEFTWR WHITE,"₹ 12,999.00",Adidas India Pvt. Ltd.,Indonesia,Adidas India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IE7350,THE FAMED '84 ADIDAS FORUM SHOES REACH NEW HEIGHTS. Own your power. Make it known. It's extra hard to miss when you're standing a few inches taller in these low-cut adidas Forum shoes. The OG look from the first '84 version is stacked on a high platform. All the signature markers are there. Ankle strap. X detail. Now elevated.,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/forum-platform-clear-sky-grey-one-ftwr-white,data/raw/superkicks/men-sneakers/images/adidas originals/forum platform clear skygrey oneftwr white,,
Asics,GEL-1130 WHITEMID GREY,"₹ 7,999.00",ASICS INDIA PVT. LTD,Vietnam,ASICS INDIA PVT. LTD,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,1201A256.114,"Spanning across decades of design evolution, the GEL-1130™ sneaker pays homage to the ninth iteration of the GEL-1000™ series. The stability running shoe from 2008 was originally inspired by the GEL-KAYANO® 14 sneaker, featuring similar aesthetics as the hero trainer. Its traditional materials have been repurposed with synthetic leather paneling to evolve the shoe with a more modern aesthetic. Additionally, this retro runner’s comfort is remixed for the streets, featuring GEL® technology in the heel for all-day cushioning.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/gel-1130-white-mid-grey,data/raw/superkicks/men-sneakers/images/asics/gel-1130 whitemid grey,,
Converse,CHUCK TAYLOR ALL STAR LAVENDER,"₹ 3,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04546C,"Since 1917, the Chuck Taylor All Star has been an icon of everyday cool. You already know the details that started on the basketball court—the diamond pattern outsole and All Star license plate. OrthoLite cushioning for all-day comfort you can feel good about. The classic style is complemented by heritage design elements, like a rubber toe bumper and woven All Star tongue label. Updated for the season in trending spring color.  Low-top shoe with cotton canvas upper. OrthoLite cushioning for all-day comfort. White foxing tape with black pinstripe for a classic look. Durable Converse laces. Woven All Star tongue label.  Generic Name: Footwear",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-lavender-1,data/raw/superkicks/men-sneakers/images/converse/chuck taylor all star lavender,,
Reebok,PUMP TZ FTWWHTCBLACKSOACYE,"₹ 13,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IE1872,"The rec center is where it all starts — that first overtime, your first buzzer-beating three and that gruelling game of 21 that seems to never end. These men's Reebok shoes channel those memories with lively colours symbolic of the rec atmosphere. OG features like The Pump on the tongue give it an unmistakable '90s look.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/pump-tz-ftwwht-cblack-soacye,data/raw/superkicks/men-sneakers/images/reebok/pump tz ftwwhtcblacksoacye,,
Nike,AIR FORCE 1 07 LT IRON ORELT IRON ORE-LT OREWOOD BRN,"₹ 11,895.00",Nike,Vietnam,Nike India Private Ltd.,1.10 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,FD3365-001,"Classic and comfortable, you'll want to wear these AF1s time after time. Smooth suede and a plush collar give these kicks a premium feel, while the gum sole adds a retro look. Of course, some things never change: Nike Air units still cushion your every step.timeFrom tough stitching to pristine materials to the cupsole design, these kicks deliver durable style that's smoother than backboard glass.Originally designed for performance hoops, Nike Air cushioning provides lasting comfort.Low-cut, padded collar looks sleek and feels great.Rubber outsole with hoops pivot circles adds durable traction and heritage style.More Details  Rope laces Foam midsole Perforation on toe",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-force-1-07-lt-iron-ore-lt-iron-ore-lt-orewood-brn,data/raw/superkicks/men-sneakers/images/nike/air force 1 07 lt iron orelt iron ore-lt orewood brn,,
Puma,THE SMURFS RS-X TEAM LIGHT BLUERED,"₹ 11,999.00",Puma,Vietnam,Puma India Pvt. Ltd.,95Kg,Shoe,1 Pair,Superkicks India Pvt. Ltd.,39353301,Come with us to Smurf Village! PUMA x THE SMURFS takes you right into the world of the little blue creatures. This RS-X brings the 2018 silhouette's signature energy to the collab with a colourful new design. It's contemporary streetwear that even Gargamel can't compete with.,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/the-smurfs-rs-x-team-light-blue-red,data/raw/superkicks/men-sneakers/images/puma/the smurfs rs-x team light bluered,,
Toms,WMNS ORGANIC COTTON DARK NAVY CANVAS SLIP ONS NAVY,"₹ 3,999.00",TOMS Shoes,China,V Retail Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,10017712,"Our day one women’s Alpargata slip-on is now designed using earth-conscious materials to lessen your impact on the planet and bring maximum comfort to your day-to-day shoe. Step into these espadrilles in navy recycled cotton canvas, and spark change with every stride.   Recycled Cotton upper, lining and sock-liner made with 50% recycled cotton which helps keep textile waste out of landfills and requires less water and energy than conventional cotton Durable, flexible outsole bound directly to the upper via Direct Injected TPR construction for a seamless fit Custom TOMS comfort insole with 50% Eco content (25% recycled PU foam, 15% recycled rubber, 10% bio oil), which means it has less of an impact on the environment Elastic gore for easy on and off Part of the earthwise™ collection, products designed with the planet in mind. We commit 1/3 of our profits to support people working to build equity at the grassroots level.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wmns-organic-cotton-dark-navy-canvas-slip-ons-navy,data/raw/superkicks/men-sneakers/images/toms/wmns organic cotton dark navy canvas slip ons navy,,
Puma,SLIPSTREAM LO XTREME WHITEBLUERED,"₹ 11,999.00",Puma,China,Puma India Pvt. Ltd.,95Kg,Shoe,1 Pair,Superkicks India Pvt. Ltd.,39469502,"The Slipstream Lo Xtreme Colour 394695_02 Unisex Sneakers by Puma are a must-have for fashionable footwear lovers. Made of high-quality leather, these sneakers offer a sleek and sophisticated look. The white upper is paired with blue and burgundy details, creating an eye-catching contrast. The IMEVA midsole provides optimal cushioning, while the rubber outsole offers secure traction on any surface. These sneakers are perfect to complete your casual or sporty outfit. Whether you're hitting the gym or just taking a walk around town, Puma's Slipstream Lo Xtreme Colour 394695_02 Sneakers will keep you comfortable and fashionable.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/slipstream-lo-xtreme-white-blue-red,data/raw/superkicks/men-sneakers/images/puma/slipstream lo xtreme whitebluered,,
Puma,RS-X EFEKT ENERGY LIGHT GREYBLACK,"₹ 11,999.00",Puma Spoarts india pvt. ltd,China,Puma Spoarts india pvt. ltd,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,39475602,"PUMA's RS series revives the 1980s high-quality cushioning with RS (Running System) foam, an improved EVA compound offering superior rebound and enhanced stability. Originally developed by the RS Computer, this technology offers excellent energy return and a secure, confident stride, blending vintage aesthetics with advanced performance.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/rs-x-efekt-energy-light-grey-black,data/raw/superkicks/men-sneakers/images/puma/rs-x efekt energy light greyblack,,
