brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,images_dir,s3_dir,product_dimensions
Adidas Originals,CAMPUS 00S ENERGY INKCORE BLACK,"₹ 9,999.00",Adidas,Vietnam,Adidas India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,HQ8710,"CLASSIC SHOES REINVENTED FOR TODAY'S MINDSET. Proportions are getting bigger. People are getting bolder. Inspired by the current mindset, these shoes remix the iconic adidas Campus 80s style for a fresh look that fits today's style and culture. We've updated the proportions and colour palette to the leather upper. Classic 3-Stripes paired with Y2K branding create a new Campus identity for you to define.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/campus-00s-energy-ink-core-black,data/raw/superkicks/men-sneakers/images/adidas originals/campus 00s energy inkcore black,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/adidas originals/campus 00s energy inkcore black,
Reebok,CLASSIC GROW BRIGHT OCHRE,"₹ 5,599.00",Reebok India Pvt. Ltd.,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,GX4744,"RETRO SHOES WITH A TIE-DYED LOOK, PART OF REEBOK'S [REE]GROW COLLECTION Now your principles and your fashion can fuse seamlessly. These shoes turn an iconic old-school look into a design that's made for the future. The upper mixes suede, leather and textile for added texture and depth. A watercolour effect gives you a fresh take on Reebok style.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/classic-grow-bright-ochre,data/raw/superkicks/men-sneakers/images/reebok/classic grow bright ochre,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/reebok/classic grow bright ochre,
New Balance,990V4 GREYRED,"₹ 23,999.00",Brandman Retail Pvt Ltd.,USA,Brandman Retail Pvt Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,M990VS4,"Introducing the latest release of New Balance 990 model. Marking the 40th anniversary of the world-renowned silhouette, this pair arrives dressed in an iconic all-grey colourway and takes a step back from recent collaborations, featuring a premium mesh and suede combination – as a nod to the original design. ENCAP cushioning propels your step - while offering a sense of nostalgia – and the sneaker sits upon a comfy and sleek black outsole. Complete with signature reflective ‘N’ branding at the side wall, this pair is sure to elevate your footwear rotation.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/990v4-grey-red,data/raw/superkicks/men-sneakers/images/new balance/990v4 greyred,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/new balance/990v4 greyred,
Jordan,AIR JORDAN 8 RETRO BLACKTRUE RED-WHITE,"₹ 19,295.00",Nike,Vietnam,Nike India Private Ltd.,1.10 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,305381-062,"Debuting during MJ's '92-'93 championship season, the AJ8 is a classic. This edition is the most recent in a long line of bring-backs to rock the molded details, colorful accents and mid-foot straps that made it an icon.Leather and textile upper delivers durable support.Encapsulated Nike Air-Sole unit provides lightweight cushioning.Mid-foot straps offer added stability and a secure fit.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-jordan-8-retro-black-true-red-white,data/raw/superkicks/men-sneakers/images/jordan/air jordan 8 retro blacktrue red-white,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/jordan/air jordan 8 retro blacktrue red-white,
Vans,SK8 LOW GREENWHITE,"₹ 5,299.00",Cravatex Brands Limited,Cambodia,Cravatex Brands Limited,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,71002946,"The Sk8-Low, a takedown of the legendary Vans high top shoe, is built with an array of colors and materials to provide a familiar Sk8-Hi aesthetic in a low top shoe. Featuring sturdy canvas and suede uppers just like its taller counterpart, this lace-up style also includes re-enforced toe caps, supportive padded collars, and signature rubber waffle outsoles.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/sk8-low-green-white,data/raw/superkicks/men-sneakers/images/vans/sk8 low greenwhite,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/vans/sk8 low greenwhite,
Reebok,LX8500 COLD GREY,"₹ 7,199.00",Reebok India Pvt. Ltd.,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,GX8944,"ARCHIVE-INSPIRED TRAINERS MADE OF HIGH-QUALITY MATERIALS These men's Reebok shoes dropped in the '80s and have a retro-style look that just won't quit. Using handcrafted British leather from the 200-year-old UK tannery Charles F. Stead, these LX8500 trainers couldn't be more authentically deluxe. Keep your look old-school with a signature heel clip.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/lx8500-cold-grey,data/raw/superkicks/men-sneakers/images/reebok/lx8500 cold grey,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/reebok/lx8500 cold grey,
Adidas Originals,CAMPUS 80S GREY,"₹ 10,999.00",adidas India Marketing Private Limited,Vietnam,adidas India Marketing Private Limited,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FZ6154,"THESE SHOES PAY TRIBUTE TO THE TIMELESS CAMPUS DESIGN. An icon of adidas Originals. A favourite among subcultures and style pioneers. The Campus trainer has made an impact on culture with its low-key look and distinctively retro style. Honouring that legacy, this iteration of the shoes remains unchanged. It has a premium nubuck upper, a luxe leather lining, contrast 3-Stripes and a rubber outsole. All the details that Campus fans covet.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/campus-80s-grey,data/raw/superkicks/men-sneakers/images/adidas originals/campus 80s grey,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/adidas originals/campus 80s grey,
Nike,AIR FORCE 1 REACT WHITEBLACK,"₹ 13,295.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DV0808-101,"Split your time between classic and new with this fresh, off-court look. Fusing modern comfort with hoops style, the AF1 React delivers a futuristic sensation. Its responsive foam midsole puts tech in the perfect position, while the rich mixture of materials add a translucent touch to the storied b-ball shoe.Leather in upper has a translucent panel—adding depth and durability.Nike React technology is a lightweight, durable foam that delivers a smooth, responsive ride.Originally designed for performance hoops, Nike Air cushioning delivers lasting comfort.Rubber outsole with translucent accents gives you excellent traction.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-force-1-react,data/raw/superkicks/men-sneakers/images/nike/air force 1 react whiteblack,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/nike/air force 1 react whiteblack,
Reebok,BB 4000 II BASKETBALL NAVY,"₹ 9,999.00",Reebok,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IE6832,BASKETBALL-INSPIRED SHOES WITH RETRO COLOR POPS Show your basketball DNA no matter where the day takes you. These shoes stay true to Reebok heritage with color pops inspired by archive styles. Delicate stitching throughout the upper gives them a simple yet refined look.,men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/bb-4000-ii-basketball-navy,data/raw/superkicks/men-sneakers/images/reebok/bb 4000 ii basketball navy,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/reebok/bb 4000 ii basketball navy,
Jordan,AIR JORDAN 2 RETRO GREENWHITE,"₹ 12,107.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DR8884-103,"Air Jordan 2 Retro Men's Shoes Subdued, palate cleansing, substantial. The classic high tops that set the stage for a footwear dynasty return in a brand new colorway. Highlights of Lucky Green pulse against crisp White, taking cues from the first AJ2's color blocking. Faux lizard skin, sleek lines and no Swoosh keep the minimalist elegance and refined look of the original. It's no coincidence that this design has maintained its icon status since '86. (Though, a little luck never hurts.) Leather feels luxurious and adds durability. Nike Air-Sole unit in the heel delivers lightweight, responsive cushioning. Rubber outsole offers traction on a variety of surfaces.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-jordan-2-retro-green-white,data/raw/superkicks/men-sneakers/images/jordan/air jordan 2 retro greenwhite,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/jordan/air jordan 2 retro greenwhite,
Asics,GEL-LYTE III OG ASH ROCK,"₹ 7,999.00",BRANCH OF DONG HUNG INDUSTRIAL JOINT STOCK COMPANY,VIETNAM,ASICS INDIA PVT. LTD,1.00 KG,Shoes,1 Pair,SUPER KICKS INDIA PVT. LTD,1201A318.500,"The GEL-LYTE™ III OG sneaker creates the cushioning you need to keep your mind and body engaged. Designed by Shigeyuki Mitsui in 1990, the GEL-LYTE™ III silhouette retains its iconic split-tongue formation. It was a feature that initially debuted on the GEL-LD RACER™ shoe. Meanwhile, key components, like its signature GEL® technology unit in the midsole provides everyday comfort.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/gel-lyte-iii-og-ash-rock,data/raw/superkicks/men-sneakers/images/asics/gel-lyte iii og ash rock,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/asics/gel-lyte iii og ash rock,34cms x 21cms x 13cms
Adidas Originals,CAMPUS 80S PANTONEWHITE,"₹ 7,999.00",adidas India Marketing Private Ltd.,Vietnam,adidas India Marketing Private Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,GY4591,"CAMPUS 80S SHOES AN UNDERSTATED CLASSIC, UPDATED TO HONOUR THE STYLE OF SHANGHAI. Born on the basketball court, the adidas Campus shoes have long been a favourite of subcultures around the world. From skaters to scenesters, they're an underground icon. And that is why we've dedicated this pair to another vibrant culture — the city of Shanghai. Soft colour and patterns borrow the look of pyjamas, so you can wear the cosiness of home out into the city's streets.  Details   Regular fit Lace closure Textile upper Textile lining Rubber outsole",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/campus-80s-pantone-white,data/raw/superkicks/men-sneakers/images/adidas originals/campus 80s pantonewhite,s3://sneakers-ml/data/raw/superkicks/men-sneakers/images/adidas originals/campus 80s pantonewhite,
