brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,images_dir,s3_dir,product_dimensions
Nike,WMNS AIR FORCE 1 07 WHITEBLACK-WHITE-WHITE,"₹ 8,195.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DD8959-103,"LEGENDARY STYLE REFINED.The radiance lives on in the Nike Air Force 1 ’07, the b-ball icon that puts a fresh spin on what you know best: crisp leather, bold colors and the perfect amount of flash to make you shine.The stitched leather overlays on the upper add heritage style, durability and support.Originally designed for hoops, Nike Air cushioning adds lightweight, all-day comfort.The low-cut silhouette adds a clean, streamlined look.The padded collar feels soft and comfortable.More Details  Foam midsole Perforations on the toe",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-force-1-07-white-black-white-white,data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air force 1 07 whiteblack-white-white,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air force 1 07 whiteblack-white-white,
Jordan,WMNS AIR JORDAN 2 RETRO LOW WHITEVARSITY ROYAL-BLACK-MUSLIN,"₹ 14,995.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DX4401-104,"Making its debut in 1986, the AJ2 was the cool younger sibling of its famous predecessor—a sleeker and more pared-down version of the iconic AJ1. With premium leather and a Nike Air-Sole unit underfoot, this throwback serves the ultimate combo of wearability and style.Leather in the upper feels luxurious and adds durability.Nike Air-Sole unit in the heel delivers lightweight, responsive cushioning.Rubber outsole offers traction on a variety of surfaces.",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-jordan-2-retro-low-white-varsity-royal-black-muslin,data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 2 retro low whitevarsity royal-black-muslin,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 2 retro low whitevarsity royal-black-muslin,
Jordan,WMNS AIR JORDAN 1 SAILBLACK-DESERT,"₹ 11,495.00",Nike,Vietnam,Nike India Private Ltd.,1.10 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,BQ6472-103,"HERITAGE STYLE, PREMIUM COMFORT ON AND OFF THE COURT.The Air Jordan 1 Mid brings full-court style and premium comfort to an iconic look. Its Air-Sole unit cushions play on the hardwood, while the padded collar gives you a supportive feel.Premium leather and synthetic upper provides durability, comfort and support.Air-Sole unit in the heel delivers signature cushioning.Rubber outsole offers traction on a variety of surfaces.",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-jordan-1-sail-black-desert,data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 1 sailblack-desert,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 1 sailblack-desert,
Jordan,WMNS AIR JORDAN 1 MID SKY J FR BLUEOZONE BLUE-SAIL,"₹ 11,495.00",Nike,China,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,BQ6472-414,"HERITAGE STYLE, PREMIUM COMFORT ON AND OFF THE COURT.The Air Jordan 1 Mid brings full-court style and premium comfort to an iconic look. Its Air-Sole unit cushions play on the hardwood, while the padded collar gives you a supportive feel.Premium leather and synthetic upper provides durability, comfort and support.Air-Sole unit in the heel delivers signature cushioning.Rubber outsole offers traction on a variety of surfaces.",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-jordan-1-mid-sky-j-fr-blue-ozone-blue-sail,data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 1 mid sky j fr blueozone blue-sail,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 1 mid sky j fr blueozone blue-sail,
Jordan,WMNS AIR JORDAN 1 RETRO HIGH OG PRALINEWHITE-SAIL,"₹ 16,995.00",Nike,China,Nike India Private Ltd.,1.10 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,FN6622-201,"Sweeten your look with this AJ1. Reimagining MJ's first hit shoe, it pairs premium leather with a dash of delight—just one look at those luxe laces will leave you wanting more. Go ahead, treat yourself.Premium leather in the upper gives you stylish durability.Ribbon laces add texture to your look.Nike Air technology absorbs impact for cushioning with every step.",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-jordan-1-retro-high-og-praline-white-sail,data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 1 retro high og pralinewhite-sail,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 1 retro high og pralinewhite-sail,
Nike,WMNS AIR FORCE 1 LX HEMPHEMP-BLACK-SUMMIT WHITE,"₹ 11,895.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DZ2789-200,"The radiance lives on with the b-ball original. Crossing hardwood comfort with off-court flair, it puts a fresh spin on what you know best: era-echoing, ‘80s construction and nothin’-but-net style.From tough stitching to pristine materials to the cupsole design, it delivers durable style that’s smoother than backboard glass.Originally designed for performance hoops, Nike Air cushioning delivers lasting comfort.Rubber outsole with heritage hoops pivot circles adds traction and durability.Low-cut, padded collar looks sleek and feels great.",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-force-1-lx-hemp-hemp-black-summit-white,data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air force 1 lx hemphemp-black-summit white,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air force 1 lx hemphemp-black-summit white,
Nike,WMNS AIR FORCE 1 07 MID SUMMIT WHITEMINERAL-SAIL,"₹ 9,695.00",Nike,Indonesia,Nike India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DD9625-103,"LEGENDARY AF1 STYLE.The Air Force 1 '07 Mid is everything you love best: crisp overlays, bold accents and the perfect amount of flash to let you shine. The padded, mid-height collar with classic hook-and-loop closure mixes style versatility with heritage b-ball comfort while perforations on the toe keep you cool.The crisp, easy to clean upper nods to legendary hoops style while the mid-height design locks in the fit. It's history, looks and the symbol of freshness all wrapped into 1.The leather overlays are smoother than backboard glass, durable and add comfort to every step.Originally designed for hoops, the Air cushioning delivers lasting comfort while the padded ankle and tongue pillow every step.More Details  Foam midsole Variable width lacing system Hook and loop closure lets you customize styling and fit Padded mid-height collar provides a comfortable fit Perforations on the toe Non-marking rubber sole adds traction and durability",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-force-1-07-mid-summit-white-mineral-sail,data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air force 1 07 mid summit whitemineral-sail,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air force 1 07 mid summit whitemineral-sail,
Jordan,WMNS AIR JORDAN 2 RETRO COOL GREYICE BLUE-WHITE,"₹ 17,295.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FB8871-041,"MJ was wearing AJ2s during one of basketball's most iconic moments—you know the one. You might not dunk from the free-throw line, but you can still flex on everyone like he did. With equal parts style and luxury, these J's are the building blocks of drip. After all, big 'fits are just as important as historic dunks, right?  Nike Air unit in the heel adds cushioning when you're running a little late and doing that half-run, half-walk thing. Nubuck upper with suede quarters gives your sneakers a luxurious durability.",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-jordan-2-retro-cool-grey-ice-blue-white-1,data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 2 retro cool greyice blue-white,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 2 retro cool greyice blue-white,
Nike,WMNS AIR FORCE 1 SHADOW PHANTOMRED STARDUST-PINK OXFORD-WHITE,"₹ 11,895.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DZ1847-001,"Everything you love about the AF1—but doubled! The Air Force 1 Shadow puts a playful twist on a hoops icon to highlight the best of AF1 DNA. With 2 eyestays, 2 mudguards, 2 backtabs and 2 Swoosh logos, you get a layered look with double the branding.Leather in the upper ages to soft perfection.Originally designed for performance hoops, Nike Air cushioning delivers lasting comfort.Featuring the same iconic shape as the original AF1, a slightly exaggerated midsole makes these sneakers instantly recognizable.Low-cut, padded collar looks sleek and feels great.Foam midsole and grooved outsole ensure the shoe is lightweight, flexible and comfortable.Rubber outsole with heritage hoops pivot circles adds durable traction.",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-force-1-shadow-phantom-red-stardust-pink-oxford-white,data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air force 1 shadow phantomred stardust-pink oxford-white,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/nike/wmns air force 1 shadow phantomred stardust-pink oxford-white,
Jordan,WMNS AIR JORDAN 5 RETRO BLACKFIRE RED,"₹ 17,495.00",Nike India Pvt. Ltd.,China,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DD9336-800,"Get out-of-this-world with the latest edition of the AJ5. The beloved Tinker Hatfield design is back with a cosmic colorway that begs the question: where will you take your game next? Done in premium suede, the Martian Sunrise upper adds otherworldly allure. Flawless details from the original like the spiky midsole and side vents keep you grounded to your home planet. And when the stars come out, you'll fit right in—reflective accents shimmer like the Milky Way.  Suede leather delivers a premium look with the durability you expect. Nike Air technology absorbs impact for cushioning with every step. Rubber outsole gives you plenty of traction.",women-basketball-sneakers,https://www.superkicks.in/collections/women-basketball-sneakers,https://www.superkicks.in/products/wmns-air-jordan-5-retro-black-fire-red,data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 5 retro blackfire red,s3://sneakers-ml/data/raw/superkicks/women-basketball-sneakers/images/jordan/wmns air jordan 5 retro blackfire red,
